timestamp,uptimeInS,bootCount,lastResetCause,powerAmplifierTemperature,quartzTemperature,isTxOn,lastSyncRssi,averageSyncRssi,lastPacketRssi,averagePacketRssi,environmentRssi,txPacketCounter,txByteCounter,rxPacketCounter,rxByteCounter,badCrcCounter,beaconTxCounter,gsWdtTimeLeftInS,
978912199,1600,484,201326592,31,31,1,32768,32768,32768,32768,-131,144,13440,0,0,0,48,71450,
978912204,1606,484,201326592,30,31,1,32768,32768,32768,32768,-129,144,13440,0,0,0,48,71445,
978912209,1611,484,201326592,30,31,1,32768,32768,32768,32768,-130,144,13440,0,0,0,48,71439,
978912215,1616,484,201326592,31,31,1,32768,32768,32768,32768,-126,147,13720,0,0,0,49,71434,
978912220,1621,484,201326592,31,32,1,32768,32768,32768,32768,-132,147,13720,0,0,0,49,71429,
978912225,1626,484,201326592,31,32,1,32768,32768,32768,32768,-132,147,13720,0,0,0,49,71424,
978912230,1632,484,201326592,31,32,1,32768,32768,32768,32768,-130,147,13720,0,0,0,49,71418,
978912235,1637,484,201326592,31,32,1,32768,32768,32768,32768,-132,147,13720,0,0,0,49,71413,
978912241,1642,484,201326592,31,32,1,32768,32768,32768,32768,-130,147,13720,0,0,0,49,71408,
978912246,1647,484,201326592,31,31,1,32768,32768,32768,32768,-128,150,14000,0,0,0,50,71403,
978912251,1652,484,201326592,31,32,1,32768,32768,32768,32768,-132,150,14000,0,0,0,50,71398,
978912256,1657,484,201326592,31,32,1,32768,32768,32768,32768,-130,150,14000,0,0,0,50,71393,
978912261,1662,484,201326592,31,32,1,32768,32768,32768,32768,-129,150,14000,0,0,0,50,71388,
978912266,1667,484,201326592,31,32,1,32768,32768,32768,32768,-132,150,14000,0,0,0,50,71383,
978912271,1672,484,201326592,31,32,1,32768,32768,32768,32768,-133,150,14000,0,0,0,50,71378,
978912276,1677,484,201326592,31,32,1,32768,32768,32768,32768,-128,152,14188,0,0,0,51,71373,
978912281,1683,484,201326592,31,32,1,32768,32768,32768,32768,-132,153,14280,0,0,0,51,71367,
978912286,1688,484,201326592,31,32,1,32768,32768,32768,32768,-130,153,14280,0,0,0,51,71362,
978912292,1693,484,201326592,31,32,1,32768,32768,32768,32768,-129,153,14280,0,0,0,51,71357,
978912297,1698,484,201326592,31,32,1,32768,32768,32768,32768,-131,153,14280,0,0,0,51,71352,
978912302,1703,484,201326592,31,32,1,32768,32768,32768,32768,-131,153,14280,0,0,0,51,71347,
978912307,1708,484,201326592,31,32,1,32768,32768,32768,32768,-130,153,14280,0,0,0,51,71342,
978912312,1713,484,201326592,31,32,1,32768,32768,32768,32768,-131,156,14560,0,0,0,52,71337,
978912317,1718,484,201326592,31,32,1,32768,32768,32768,32768,-130,156,14560,0,0,0,52,71332,
978912322,1723,484,201326592,31,32,1,32768,32768,32768,32768,-130,156,14560,0,0,0,52,71327,
978912327,1728,484,201326592,31,32,1,32768,32768,32768,32768,-134,156,14560,0,0,0,52,71322,
978912332,1734,484,201326592,31,32,1,32768,32768,32768,32768,-131,156,14560,0,0,0,52,71316,
978912337,1739,484,201326592,31,32,1,32768,32768,32768,32768,-134,156,14560,0,0,0,52,71311,
978912343,1744,484,201326592,31,32,1,32768,32768,32768,32768,-130,159,14840,0,0,0,53,71306,
978912348,1749,484,201326592,31,32,1,32768,32768,32768,32768,-133,159,14840,0,0,0,53,71301,
978912353,1754,484,201326592,31,32,1,32768,32768,32768,32768,-130,159,14840,0,0,0,53,71296,
978912358,1759,484,201326592,31,32,1,32768,32768,32768,32768,-131,159,14840,0,0,0,53,71291,
978912363,1764,484,201326592,31,32,1,32768,32768,32768,32768,-134,159,14840,0,0,0,53,71286,
978912368,1769,484,201326592,31,32,1,32768,32768,32768,32768,-132,159,14840,0,0,0,53,71281,
978912373,1774,484,201326592,31,32,1,32768,32768,32768,32768,-130,162,15120,0,0,0,54,71276,
978912378,1779,484,201326592,31,32,1,32768,32768,32768,32768,-127,162,15120,0,0,0,54,71271,
978912383,1785,484,201326592,31,32,1,32768,32768,32768,32768,-133,162,15120,0,0,0,54,71265,
978912388,1790,484,201326592,31,32,1,32768,32768,32768,32768,-128,162,15120,0,0,0,54,71260,
978912394,1795,484,201326592,31,32,1,32768,32768,32768,32768,-129,162,15120,0,0,0,54,71255,
978912399,1800,484,201326592,31,32,1,32768,32768,32768,32768,-130,162,15120,0,0,0,54,71250,
978912404,1805,484,201326592,31,32,1,32768,32768,32768,32768,-132,165,15400,0,0,0,55,71245,
978912409,1810,484,201326592,31,32,1,32768,32768,32768,32768,-130,165,15400,0,0,0,55,71240,
978912414,1815,484,201326592,31,32,1,32768,32768,32768,32768,-130,165,15400,0,0,0,55,71235,
978912419,1820,484,201326592,31,32,1,32768,32768,32768,32768,-129,165,15400,0,0,0,55,71230,
978912424,1825,484,201326592,31,32,1,32768,32768,32768,32768,-131,165,15400,0,0,0,55,71225,
978912429,1831,484,201326592,31,32,1,32768,32768,32768,32768,-131,165,15400,0,0,0,55,71219,
978912434,1836,484,201326592,31,32,1,32768,32768,32768,32768,-129,168,15680,0,0,0,56,71214,
978912439,1841,484,201326592,31,32,1,32768,32768,32768,32768,-131,168,15680,0,0,0,56,71209,
978912445,1846,484,201326592,31,32,1,32768,32768,32768,32768,-131,168,15680,0,0,0,56,71204,
978912450,1851,484,201326592,31,32,1,32768,32768,32768,32768,-132,168,15680,0,0,0,56,71199,
978912455,1856,484,201326592,31,32,1,32768,32768,32768,32768,-132,168,15680,0,0,0,56,71194,
978912460,1861,484,201326592,31,32,1,32768,32768,32768,32768,-130,168,15680,0,0,0,56,71189,
978912465,1866,484,201326592,31,32,1,32768,32768,32768,32768,-130,171,15960,0,0,0,57,71184,
978912470,1871,484,201326592,31,32,1,32768,32768,32768,32768,-133,171,15960,0,0,0,57,71179,
978912475,1876,484,201326592,31,32,1,32768,32768,32768,32768,-127,171,15960,0,0,0,57,71174,
978912481,1882,484,201326592,31,32,1,32768,32768,32768,32768,-131,171,15960,0,0,0,57,71168,
978912486,1887,484,201326592,31,32,1,32768,32768,32768,32768,-130,171,15960,0,0,0,57,71163,
978912491,1892,484,201326592,31,32,1,32768,32768,32768,32768,-133,171,15960,0,0,0,57,71158,
978912496,1897,484,201326592,31,32,1,32768,32768,32768,32768,-130,174,16240,0,0,0,58,71153,
978912501,1902,484,201326592,31,32,1,32768,32768,32768,32768,-130,174,16240,0,0,0,58,71148,
978912506,1908,484,201326592,31,32,1,32768,32768,32768,32768,-131,174,16240,0,0,0,58,71142,
978912511,1913,484,201326592,31,32,1,32768,32768,32768,32768,-133,174,16240,0,0,0,58,71137,
978912516,1918,484,201326592,31,32,1,32768,32768,32768,32768,-132,174,16240,0,0,0,58,71132,
978912522,1923,484,201326592,31,32,1,32768,32768,32768,32768,-130,174,16240,0,0,0,58,71127,
978912527,1928,484,201326592,32,32,1,32768,32768,32768,32768,-131,177,16520,0,0,0,59,71122,
978912532,1933,484,201326592,31,32,1,32768,32768,32768,32768,-131,177,16520,0,0,0,59,71117,
978912537,1938,484,201326592,31,32,1,32768,32768,32768,32768,-131,177,16520,0,0,0,59,71112,
978912542,1943,484,201326592,31,32,1,32768,32768,32768,32768,-131,177,16520,0,0,0,59,71107,
978912547,1948,484,201326592,31,32,1,32768,32768,32768,32768,-132,177,16520,0,0,0,59,71102,
978912552,1953,484,201326592,31,32,1,32768,32768,32768,32768,-130,177,16520,0,0,0,59,71097,
978912557,1959,484,201326592,32,32,1,32768,32768,32768,32768,-131,180,16800,0,0,0,60,71091,
978912562,1964,484,201326592,31,32,1,32768,32768,32768,32768,-130,180,16800,0,0,0,60,71086,
978912567,1969,484,201326592,31,32,1,32768,32768,32768,32768,-132,180,16800,0,0,0,60,71081,
978912573,1974,484,201326592,31,32,1,32768,32768,32768,32768,-131,180,16800,0,0,0,60,71076,
978912578,1979,484,201326592,31,32,1,32768,32768,32768,32768,-130,180,16800,0,0,0,60,71071,
978912583,1984,484,201326592,31,32,1,32768,32768,32768,32768,-130,180,16800,0,0,0,60,71066,
978912588,1989,484,201326592,31,32,1,32768,32768,32768,32768,-128,183,17080,0,0,0,61,71061,
978912593,1994,484,201326592,31,32,1,32768,32768,32768,32768,-131,183,17080,0,0,0,61,71056,
978912598,1999,484,201326592,31,32,1,32768,32768,32768,32768,-132,183,17080,0,0,0,61,71051,
978912603,2004,484,201326592,31,32,1,32768,32768,32768,32768,-128,183,17080,0,0,0,61,71046,
978912608,2010,484,201326592,31,32,1,32768,32768,32768,32768,-130,183,17080,0,0,0,61,71040,
978912613,2015,484,201326592,31,32,1,32768,32768,32768,32768,-130,183,17080,0,0,0,61,71035,
978912618,2020,484,201326592,31,32,1,32768,32768,32768,32768,-126,184,17174,0,0,0,62,71030,
978912624,2025,484,201326592,31,32,1,32768,32768,32768,32768,-131,186,17360,0,0,0,62,71025,
978912629,2030,484,201326592,31,32,1,32768,32768,32768,32768,-132,186,17360,0,0,0,62,71020,
978912634,2035,484,201326592,31,32,1,32768,32768,32768,32768,-131,186,17360,0,0,0,62,71015,
978912639,2040,484,201326592,31,32,1,32768,32768,32768,32768,-131,186,17360,0,0,0,62,71010,
978912644,2045,484,201326592,31,32,1,32768,32768,32768,32768,-133,186,17360,0,0,0,62,71005,
978912649,2050,484,201326592,31,32,1,32768,32768,32768,32768,-132,186,17360,0,0,0,62,71000,
978912654,2055,484,201326592,31,32,1,32768,32768,32768,32768,-130,189,17640,0,0,0,63,70995,
978912659,2061,484,201326592,31,32,1,32768,32768,32768,32768,-130,189,17640,0,0,0,63,70989,
978912664,2066,484,201326592,31,32,1,32768,32768,32768,32768,-131,189,17640,0,0,0,63,70984,
978912669,2071,484,201326592,31,32,1,32768,32768,32768,32768,-130,189,17640,0,0,0,63,70979,
978912675,2076,484,201326592,31,32,1,32768,32768,32768,32768,-133,189,17640,0,0,0,63,70974,
978912680,2081,484,201326592,31,32,1,32768,32768,32768,32768,-130,189,17640,0,0,0,63,70969,
978912685,2086,484,201326592,31,32,1,32768,32768,32768,32768,-129,192,17920,0,0,0,64,70964,
978912690,2091,484,201326592,31,32,1,32768,32768,32768,32768,-131,192,17920,0,0,0,64,70959,
978912695,2096,484,201326592,31,32,1,32768,32768,32768,32768,-129,192,17920,0,0,0,64,70954,
978912700,2101,484,201326592,31,32,1,32768,32768,32768,32768,-130,192,17920,0,0,0,64,70949,
978912705,2106,484,201326592,31,32,1,32768,32768,32768,32768,-132,192,17920,0,0,0,64,70944,
978912710,2112,484,201326592,31,32,1,32768,32768,32768,32768,-133,192,17920,0,0,0,64,70938,
978912715,2117,484,201326592,31,32,1,32768,32768,32768,32768,-128,195,18200,0,0,0,65,70933,
978912720,2122,484,201326592,31,32,1,32768,32768,32768,32768,-133,195,18200,0,0,0,65,70928,
978912726,2127,484,201326592,31,32,1,32768,32768,32768,32768,-132,195,18200,0,0,0,65,70923,
978912731,2132,484,201326592,31,32,1,32768,32768,32768,32768,-132,195,18200,0,0,0,65,70918,
978912736,2138,484,201326592,31,32,1,32768,32768,32768,32768,-131,195,18200,0,0,0,65,70912,
978912741,2143,484,201326592,31,32,1,32768,32768,32768,32768,-131,195,18200,0,0,0,65,70907,
978912746,2148,484,201326592,31,32,1,32768,32768,32768,32768,-130,198,18480,0,0,0,66,70902,
978912752,2153,484,201326592,31,32,1,32768,32768,32768,32768,-132,198,18480,0,0,0,66,70897,
978912757,2158,484,201326592,31,32,1,32768,32768,32768,32768,-132,198,18480,0,0,0,66,70892,
978912762,2163,484,201326592,31,32,1,32768,32768,32768,32768,-131,198,18480,0,0,0,66,70887,
978912767,2168,484,201326592,31,32,1,32768,32768,32768,32768,-130,198,18480,0,0,0,66,70882,
978912772,2173,484,201326592,31,32,1,32768,32768,32768,32768,-130,198,18480,0,0,0,66,70877,
978912777,2178,484,201326592,31,32,1,32768,32768,32768,32768,-133,201,18760,0,0,0,67,70872,
978912782,2183,484,201326592,31,32,1,32768,32768,32768,32768,-133,201,18760,0,0,0,67,70867,
978912787,2189,484,201326592,31,32,1,32768,32768,32768,32768,-131,201,18760,0,0,0,67,70861,
978912792,2194,484,201326592,31,32,1,32768,32768,32768,32768,-130,201,18760,0,0,0,67,70856,
978912797,2199,484,201326592,31,32,1,32768,32768,32768,32768,-130,201,18760,0,0,0,67,70851,
978912803,2204,484,201326592,31,32,1,32768,32768,32768,32768,-131,201,18760,0,0,0,67,70846,
978912808,2209,484,201326592,32,32,1,32768,32768,32768,32768,-131,204,19040,0,0,0,68,70841,
978912813,2214,484,201326592,31,32,1,32768,32768,32768,32768,-131,204,19040,0,0,0,68,70836,
978912818,2219,484,201326592,31,32,1,32768,32768,32768,32768,-129,204,19040,0,0,0,68,70831,
978912823,2224,484,201326592,31,32,1,32768,32768,32768,32768,-132,204,19040,0,0,0,68,70826,
978912828,2229,484,201326592,31,32,1,32768,32768,32768,32768,-132,204,19040,0,0,0,68,70821,
978912833,2234,484,201326592,31,32,1,32768,32768,32768,32768,-131,204,19040,0,0,0,68,70816,
978912838,2240,484,201326592,32,32,1,32768,32768,32768,32768,-130,207,19320,0,0,0,69,70810,
