time; timestamp; t_delta; target; angle
06/03/2022, 11:57:09; 1654250229.3839555; 3821.8819653987885; 254.786932; 254.77272
06/03/2022, 11:57:19; 1654250239.4671955; 3831.9652054309845; 255.454545; 255.440338
06/03/2022, 11:57:29; 1654250249.5511458; 3842.0491557121277; 256.136364; 256.122161
06/03/2022, 11:57:39; 1654250259.6343768; 3852.1323866844177; 256.803977; 256.818176
06/03/2022, 11:57:49; 1654250269.7164392; 3862.2144491672516; 257.471591; 257.471588
06/03/2022, 11:57:59; 1654250279.7968802; 3872.294890165329; 258.139205; 258.125
06/03/2022, 11:58:09; 1654250289.8839924; 3882.382002353668; 258.821023; 258.821014
06/03/2022, 11:58:19; 1654250299.9682243; 3892.4662342071533; 259.488636; 259.474426
06/03/2022, 11:58:30; 1654250310.0557952; 3902.5538051128387; 260.15625; 260.15625
06/03/2022, 11:58:40; 1654250320.1408648; 3912.638874769211; 260.838068; 260.823852
06/03/2022, 11:58:50; 1654250330.2255855; 3922.723595380783; 261.505682; 261.491485
06/03/2022, 11:59:00; 1654250340.309008; 3932.807017803192; 262.173295; 262.159088
06/03/2022, 11:59:10; 1654250350.393916; 3942.8919258117676; 262.855114; 262.840911
06/03/2022, 11:59:20; 1654250360.4821332; 3952.980143070221; 263.522727; 263.494323
06/03/2022, 11:59:30; 1654250370.5689294; 3963.066939353943; 264.190341; 264.190338
06/03/2022, 11:59:40; 1654250380.6539114; 3973.151921272278; 264.872159; 264.85794
06/03/2022, 11:59:50; 1654250390.739054; 3983.237063884735; 265.539773; 265.539764
06/03/2022, 12:00:00; 1654250400.82486; 3993.322870016098; 266.207386; 266.193176
06/03/2022, 12:00:10; 1654250410.9108016; 4003.408811569214; 266.889205; 266.875
06/03/2022, 12:00:20; 1654250420.9957945; 4013.4938044548035; 267.556818; 267.556823
06/03/2022, 12:00:31; 1654250431.0835435; 4023.5815534591675; 268.238636; 268.224426
06/03/2022, 12:00:41; 1654250441.1712863; 4033.6692962646484; 268.90625; 268.892059
06/03/2022, 12:00:51; 1654250451.2592964; 4043.7573063373566; 269.573864; 269.559661
06/03/2022, 12:01:01; 1654250461.3432605; 4053.8412704467773; 270.255682; 270.241485
06/03/2022, 12:01:11; 1654250471.4261205; 4063.9241304397583; 270.923295; 270.909088
06/03/2022, 12:01:21; 1654250481.5121589; 4074.0101687908173; 271.590909; 271.57669
06/03/2022, 12:01:31; 1654250491.5991; 4084.0971100330353; 272.272727; 272.272735
06/03/2022, 12:01:41; 1654250501.6850674; 4094.1830773353577; 272.940341; 272.940338
06/03/2022, 12:01:51; 1654250511.7711012; 4104.269111156464; 273.607955; 273.60794
06/03/2022, 12:02:01; 1654250521.856384; 4114.354393959045; 274.289773; 274.275573
06/03/2022, 12:02:11; 1654250531.9427414; 4124.440751314163; 274.957386; 274.943176
06/03/2022, 12:02:22; 1654250542.0298793; 4134.527889251709; 275.625; 275.610809
06/03/2022, 12:02:32; 1654250552.1155472; 4144.613557100296; 276.306818; 276.306823
06/03/2022, 12:02:42; 1654250562.1990392; 4154.69704914093; 276.974432; 276.974426
06/03/2022, 12:02:52; 1654250572.2874534; 4164.78546333313; 277.642045; 277.627838
06/03/2022, 12:03:02; 1654250582.371561; 4174.869570970535; 278.323864; 278.309661
06/03/2022, 12:03:12; 1654250592.4579825; 4184.955992460251; 278.991477; 278.991485
06/03/2022, 12:03:22; 1654250602.5449173; 4195.042927265167; 279.659091; 279.659088
06/03/2022, 12:03:32; 1654250612.632255; 4205.130264997482; 280.340909; 280.32669
06/03/2022, 12:03:42; 1654250622.7189717; 4215.216981649399; 281.008523; 280.994323
06/03/2022, 12:03:52; 1654250632.8018785; 4225.299888372421; 281.676136; 281.661926
06/03/2022, 12:04:02; 1654250642.8884716; 4235.386481523514; 282.357955; 282.34375
06/03/2022, 12:04:12; 1654250652.9741704; 4245.472180366516; 283.025568; 283.025573
06/03/2022, 12:04:23; 1654250663.059772; 4255.557781934738; 283.693182; 283.693176
06/03/2022, 12:04:33; 1654250673.143587; 4265.641597032547; 284.375; 284.375
06/03/2022, 12:04:43; 1654250683.2314594; 4275.729469299316; 285.042614; 285.028411
