time; timestamp; t_delta; target; angle
05/13/2022, 17:50:11; 1652457011.8036637; 24714.744525909424; 207.642045; 207.642044
05/13/2022, 17:50:21; 1652457021.8896697; 24724.830531835556; 208.309659; 208.309661
05/13/2022, 17:50:31; 1652457031.975804; 24734.916666269302; 208.991477; 208.977279
05/13/2022, 17:50:42; 1652457042.0616148; 24745.00247693062; 209.659091; 209.644882
05/13/2022, 17:50:52; 1652457052.149366; 24755.09022808075; 210.326705; 210.3125
05/13/2022, 17:51:02; 1652457062.2360897; 24765.176951885223; 211.008523; 211.008529
05/13/2022, 17:51:12; 1652457072.320324; 24775.261186122894; 211.676136; 211.661926
05/13/2022, 17:51:22; 1652457082.404935; 24785.34579706192; 212.34375; 212.329544
05/13/2022, 17:51:32; 1652457092.490854; 24795.43171620369; 213.025568; 213.025573
05/13/2022, 17:51:42; 1652457102.5767596; 24805.5176217556; 213.693182; 213.693176
05/13/2022, 17:51:52; 1652457112.6617327; 24815.602594852448; 214.360795; 214.360794
05/13/2022, 17:52:02; 1652457122.7469482; 24825.68781042099; 215.042614; 215.028411
05/13/2022, 17:52:12; 1652457132.8324096; 24835.773271799088; 215.710227; 215.696029
05/13/2022, 17:52:22; 1652457142.916231; 24845.85709309578; 216.377841; 216.363632
05/13/2022, 17:52:33; 1652457153.0041976; 24855.945059776306; 217.059659; 217.059661
05/13/2022, 17:52:43; 1652457163.0905654; 24866.03142762184; 217.727273; 217.727279
05/13/2022, 17:52:53; 1652457173.1778836; 24876.118745803833; 218.394886; 218.394882
05/13/2022, 17:53:03; 1652457183.2656088; 24886.20647096634; 219.076705; 219.0625
05/13/2022, 17:53:13; 1652457193.3512652; 24896.292127370834; 219.744318; 219.744323
05/13/2022, 17:53:23; 1652457203.4383395; 24906.37920165062; 220.411932; 220.411926
05/13/2022, 17:53:33; 1652457213.5212133; 24916.462075471878; 221.09375; 221.079544
05/13/2022, 17:53:43; 1652457223.608637; 24926.5494992733; 221.761364; 221.747161
05/13/2022, 17:53:53; 1652457233.695773; 24936.63663506508; 222.428977; 222.414779
05/13/2022, 17:54:03; 1652457243.7826583; 24946.72352051735; 223.110795; 223.110794
05/13/2022, 17:54:13; 1652457253.8686993; 24956.809561491013; 223.778409; 223.778411
05/13/2022, 17:54:23; 1652457263.9552138; 24966.896075963974; 224.446023; 224.446029
05/13/2022, 17:54:34; 1652457274.0419137; 24976.98277592659; 225.127841; 225.113632
05/13/2022, 17:54:44; 1652457284.127887; 24987.068749189377; 225.795455; 225.78125
05/13/2022, 17:54:54; 1652457294.21302; 24997.15388226509; 226.463068; 226.463073
05/13/2022, 17:55:04; 1652457304.3074698; 25007.24833202362; 227.144886; 227.144882
05/13/2022, 17:55:14; 1652457314.3943813; 25017.335243463516; 227.8125; 227.8125
05/13/2022, 17:55:24; 1652457324.479821; 25027.420683145523; 228.494318; 228.494323
05/13/2022, 17:55:34; 1652457334.5630205; 25037.50388264656; 229.161932; 229.161926
05/13/2022, 17:55:44; 1652457344.6488152; 25047.58967733383; 229.829545; 229.829544
05/13/2022, 17:55:54; 1652457354.734268; 25057.67513012886; 230.511364; 230.497161
05/13/2022, 17:56:04; 1652457364.8203433; 25067.7612054348; 231.178977; 231.164779
05/13/2022, 17:56:14; 1652457374.9075863; 25077.84844851494; 231.846591; 231.832382
05/13/2022, 17:56:24; 1652457384.9940922; 25087.93495440483; 232.528409; 232.528411
05/13/2022, 17:56:35; 1652457395.07901; 25098.019872188568; 233.196023; 233.196029
05/13/2022, 17:56:45; 1652457405.162607; 25108.103469133377; 233.863636; 233.863632
05/13/2022, 17:56:55; 1652457415.2491293; 25118.18999147415; 234.545455; 234.53125
05/13/2022, 17:57:05; 1652457425.3352242; 25128.276086330414; 235.213068; 235.213073
